code_2015,name_2015,weight_2015,code_2020,name_2020,weight_2020,relation
1643,マヨネーズ,4,1643,マヨネーズ,5,1:1
1644,ジャム,5,1644,ジャム,4,1:1
1645,ドレッシング,8,1645,ドレッシング,8,1:1
1652,カレールウ,5,1652,カレールウ,5,1:1
1653,乾燥スープ,10,1653,乾燥スープ,13,1:1
1654,風味調味料,8,1654,風味調味料,9,1:1
1655,たれ,5,1655,たれ,6,1:1
1656,ふりかけ,6,1656,ふりかけ,6,1:1
1657,合わせ調味料,4,1657,合わせ調味料,9,1:1
1658,パスタソース,4,1658,パスタソース,5,1:1
1659,つゆ,11,1659,つゆ,12,1:1
1701,ようかん,10,1701,ようかん,9,1:1
1702,まんじゅう,17,1702,まんじゅう,13,1:1
1703,だいふく餅,15,1703,だいふく餅,14,1:1
1711,カステラ,5,1711,カステラ,5,1:1
1712,ケーキ,25,1712,ケーキ,25,1:1
1713,シュークリーム,8,1713,シュークリーム,6,1:1
1714,プリン,8,1714,プリン,10,1:1
1715,ロールケーキ,11,1715,ロールケーキ,10,1:1
1721,ビスケット,13,1721,ビスケット,14,1:1
1732,キャンデー,8,1732,キャンデー,8,1:1
1741,せんべい,21,1741,せんべい,20,1:1
1761,チョコレート,26,1761,チョコレート,30,1:1
1772,落花生,2,1772,落花生,3,1:1
1781,チューインガム,3,1781,チューインガム,3,1:1
1782,アイスクリーム,32,1782,アイスクリーム,35,1:1
1783,ポテトチップス,16,1783,ポテトチップス,18,1:1
1784,ゼリー,11,1784,ゼリー,13,1:1
1791,弁当Ａ,23,1791,弁当Ａ,25,1:1
1792,調理パン,16,1792,調理パン,18,1:1
1793,おにぎり,14,1793,おにぎり,15,1:1
1794,冷凍調理ピラフ,6,1794,冷凍米飯,7,1:1
1795,すし（弁当）Ａ,28,1795,すし（弁当）Ａ,29,1:1
1796,調理パスタ,4,1796,調理パスタ,5,1:1
1797,弁当Ｂ,23,1797,弁当Ｂ,25,1:1
1798,すし（弁当）Ｂ,14,1798,すし（弁当）Ｂ,15,1:1
1799,調理ピザパイ,4,1799,調理ピザ,5,1:1
1801,うなぎかば焼き,10,1801,うなぎかば焼き,9,1:1
1802,焼き魚,14,1802,焼き魚,10,1:1
1811,サラダ,17,1811,サラダ,19,1:1
1812,煮豆,3,1812,煮豆,7,1:1
1813,きんぴら,14,1813,きんぴら,2,1:1
1814,焼豚,14,1814,焼豚,10,1:1
1821,コロッケ,14,1821,コロッケ,12,1:1
1831,豚カツ,13,1831,豚カツ,13,1:1
1842,からあげ,28,1842,からあげ,30,1:1
1843,やきとり,8,1843,やきとり,9,1:1
1851,冷凍調理コロッケ,13,1851,冷凍調理コロッケ,6,1:1
1852,冷凍調理ハンバーグ,13,1852,冷凍調理ハンバーグ,9,1:1
1871,調理カレー,5,1871,調理カレー,15,1:1
1881,ぎょうざ,12,1881,ぎょうざ,11,1:1
1891,混ぜごはんのもと,2,1891,混ぜごはんのもと,7,1:1
1902,緑茶,14,1902,緑茶,13,1:1
1911,紅茶,3,1911,紅茶,3,1:1
1914,茶飲料,18,1914,茶飲料,22,1:1
1921,インスタントコーヒー,8,1921,インスタントコーヒー,9,1:1
1922,コーヒー豆,8,1922,コーヒー豆,9,1:1
1923,コーヒー飲料Ａ,13,1923,コーヒー飲料Ａ,13,1:1
1924,コーヒー飲料Ｂ,3,1924,コーヒー飲料Ｂ,3,1:1
1930,果実ジュース,9,1930,果実ジュース,7,1:1
1931,果汁入り飲料,7,1931,果汁入り飲料,7,1:1
1941,野菜ジュース,13,1941,野菜ジュース,14,1:1
1951,炭酸飲料,17,1951,炭酸飲料,20,1:1
1972,乳酸菌飲料,13,1972,乳酸菌飲料,15,1:1
1981,スポーツドリンク,5,1981,スポーツドリンク,5,1:1
1982,ミネラルウォーター,11,1982,ミネラルウォーター,10,1:1
1983,豆乳,4,1983,豆乳,6,1:1
2003,清酒,18,2003,清酒,16,1:1
2011,焼酎,20,2011,焼酎,18,1:1
2012,チューハイ,6,2012,チューハイ,12,1:1
2021,ビール,33,2021,ビール,31,1:1
2026,発泡酒,8,2026,発泡酒,8,1:1
2027,ビール風アルコール飲料,20,2027,ビール風アルコール飲料,19,1:1
2033,ウイスキー,5,2033,ウイスキー,6,1:1
2041,ワイン（国産品）,3,2041,ワイン（国産品）,3,1:1
2042,ワイン（輸入品）,7,2042,ワイン（輸入品）,7,1:1
2101,うどん（外食）,15,2101,うどん（外食）,13,1:1
2102,中華そば（外食）,30,2102,中華そば（外食）,30,1:1
2103,日本そば（外食）,15,2103,日本そば（外食）,13,1:1
2112,スパゲッティ（外食）,11,2112,スパゲッティ（外食）,11,1:1
2121,すし（外食）Ｂ,44,2121,すし（外食）Ｂ,37,1:1
2123,すし（外食）Ａ,24,2123,すし（外食）Ａ,25,1:1
2132,天丼（外食）,18,2132,天丼（外食）,13,1:1
2133,カレーライス（外食）,20,2133,カレーライス（外食）,19,1:1
2134,ぎょうざ（外食）,23,2134,ぎょうざ（外食）,20,1:1
2135,ハンバーガー（外食）,15,2135,ハンバーガー（外食）,22,1:1
2136,牛丼（外食）,13,2136,牛丼（外食）,13,1:1
2141,ハンバーグ（外食）,29,2141,ハンバーグ（外食）,28,1:1
2142,豚カツ定食（外食）,27,2142,豚カツ定食（外食）,26,1:1
2144,ピザパイ（配達）,8,2144,ピザ（配達）,7,1:1
